Open,High,Low,LTP
0.071755725,0.082016554,0.080213904,0.077099237
0.077099237,0.069977427,0.07486631,0.070992366
0.070992366,0.063957863,0.061879297,0.058015267
0.058015267,0.063957863,0.058823529,0.057251908
0.057251908,0.063205418,0.061115355,0.058778626
0.058015267,0.064710309,0.062643239,0.065648855
0.065648855,0.063957863,0.068754775,0.064885496
0.064885496,0.070729872,0.068754775,0.071755725
0.071755725,0.063957863,0.068754775,0.064885496
0.064885496,0.063957863,0.061115355,0.057251908
0.057251908,0.060195636,0.061115355,0.057251908
0.057251908,0.06772009,0.064171123,0.06870229
0.06870229,0.060948081,0.05500382,0.058015267
0.058015267,0.057185854,0.061115355,0.057251908
0.057251908,0.060948081,0.061115355,0.057251908
0.057251908,0.060195636,0.061115355,0.061068702
0.061068702,0.066215199,0.064935065,0.067175573
0.067175573,0.060195636,0.064935065,0.061068702
0.061068702,0.062452972,0.061879297,0.058778626
0.058778626,0.054928518,0.059587471,0.055725191
0.055725191,0.056433409,0.061115355,0.057251908
0.057251908,0.060195636,0.061115355,0.057251908
0.057251908,0.057938299,0.061115355,0.058778626
0.058778626,0.060195636,0.061115355,0.057251908
0.057251908,0.056433409,0.059587471,0.057251908
0.057251908,0.056433409,0.061115355,0.057251908
0.057251908,0.054928518,0.057295646,0.053435115
0.053435115,0.052671181,0.054239878,0.050381679
0.050381679,0.056433409,0.057295646,0.057251908
0.057251908,0.057938299,0.055767762,0.057251908
0.057251908,0.057938299,0.058059587,0.057251908
0.057251908,0.062452972,0.061115355,0.063358779
0.063358779,0.063957863,0.066462949,0.064885496
0.064885496,0.06772009,0.072574484,0.06870229
0.06870229,0.071482318,0.072574484,0.072519084
0.072519084,0.070729872,0.072574484,0.071755725
0.071755725,0.072234763,0.070282659,0.071755725
0.071755725,0.068472536,0.068754775,0.06870229
0.06870229,0.063957863,0.058823529,0.054961832
0.054961832,0.053423627,0.052711994,0.053435115
0.053435115,0.052671181,0.051948052,0.049618321
0.049618321,0.048908954,0.053475936,0.049618321
0.049618321,0.054176072,0.053475936,0.049618321
0.049618321,0.048908954,0.052711994,0.049618321
0.049618321,0.048908954,0.044308633,0.045801527
0.045801527,0.045146727,0.044308633,0.045801527
0.045801527,0.045146727,0.045836516,0.042748092
0.042748092,0.045899172,0.045836516,0.045801527
0.045801527,0.0496614,0.049656226,0.045801527
0.045801527,0.05116629,0.0473644,0.046564885
0.046564885,0.048156509,0.050420168,0.048854962
0.048854962,0.047404063,0.0473644,0.048091603
0.048091603,0.0496614,0.045836516,0.048854962
0.048854962,0.048908954,0.051948052,0.049618321
0.049618321,0.048908954,0.046600458,0.049618321
0.049618321,0.066215199,0.057295646,0.067175573
0.067175573,0.075244545,0.064935065,0.065648855
0.065648855,0.077501881,0.075630252,0.078625954
0.078625954,0.113619263,0.088617265,0.110687023
0.110687023,0.132430399,0.12223071,0.134351145
0.134351145,0.148984199,0.095492743,0.091603053
0.091603053,0.116629044,0.084797555,0.110687023
0.110687023,0.128668172,0.121466769,0.126717557
0.126717557,0.161775771,0.137509549,0.164122137
0.164122137,0.170805117,0.17723453,0.173282443
0.173282443,0.188863807,0.186401833,0.191603053
0.191603053,0.236267871,0.189457601,0.235877863
0.235877863,0.250564334,0.226126814,0.254198473
0.254198473,0.248306998,0.223071047,0.219083969
0.219083969,0.221971407,0.229182582,0.22519084
0.22519084,0.273137698,0.239113827,0.277099237
0.277099237,0.328818661,0.291825821,0.333587786
0.333587786,0.349887133,0.275019099,0.308396947
