Date,Open,High,Low,LTP
10/4/2017,0.286064769,0.275094697,0.28041543,0.272243714
10/8/2017,0.276251227,0.263731061,0.258160237,0.259187621
10/9/2017,0.263002944,0.254261364,0.258160237,0.252901354
10/10/2017,0.256624141,0.247632576,0.253214639,0.252901354
10/11/2017,0.256624141,0.246685606,0.257665678,0.250483559
10/12/2017,0.254170756,0.244791667,0.255687438,0.250483559
10/15/2017,0.254170756,0.251420455,0.258160237,0.25967118
10/16/2017,0.263493621,0.282670455,0.268051434,0.291586074
10/17/2017,0.295878312,0.285511364,0.290306627,0.285783366
10/18/2017,0.289990186,0.28030303,0.289812067,0.287717602
10/22/2017,0.291952895,0.282670455,0.292779426,0.285299807
10/23/2017,0.289499509,0.28030303,0.287833828,0.281914894
10/24/2017,0.286064769,0.275568182,0.283382789,0.278046422
10/25/2017,0.282139352,0.273200758,0.275469832,0.267408124
10/29/2017,0.271344455,0.261363636,0.270524233,0.264990329
10/30/2017,0.26889107,0.258522727,0.268051434,0.262572534
10/31/2017,0.266437684,0.254261364,0.263105836,0.25967118
11/1/2017,0.263493621,0.258996212,0.268051434,0.260154739
11/2/2017,0.263984298,0.256628788,0.262116716,0.257736944
11/5/2017,0.261530913,0.247159091,0.255192878,0.251934236
11/6/2017,0.255642787,0.242424242,0.248269041,0.245647969
11/7/2017,0.249263984,0.240056818,0.245796241,0.24032882
11/8/2017,0.243866536,0.232954545,0.240850643,0.233558994
11/9/2017,0.236997056,0.225852273,0.223541048,0.216634429
11/12/2017,0.219823356,0.21875,0.21909001,0.226305609
11/13/2017,0.229636899,0.225852273,0.233432245,0.231624758
11/14/2017,0.235034347,0.242424242,0.239861523,0.250483559
11/15/2017,0.254170756,0.246212121,0.256676558,0.250483559
11/16/2017,0.254170756,0.242424242,0.248269041,0.241779497
11/19/2017,0.245338567,0.242424242,0.242334322,0.235009671
11/20/2017,0.238469087,0.222064394,0.228486647,0.221470019
11/21/2017,0.224730128,0.224431818,0.223541048,0.223887814
11/22/2017,0.227183513,0.227272727,0.238377844,0.234042553
11/23/2017,0.237487733,0.230587121,0.241345203,0.234042553
11/26/2017,0.237487733,0.232954545,0.243323442,0.238394584
11/27/2017,0.241903827,0.234848485,0.238377844,0.233558994
11/28/2017,0.236997056,0.232954545,0.240850643,0.240812379
11/29/2017,0.244357213,0.237689394,0.248269041,0.240812379
11/30/2017,0.244357213,0.237689394,0.243323442,0.24032882
12/4/2017,0.243866536,0.23342803,0.241345203,0.234042553
12/5/2017,0.237487733,0.228219697,0.235905045,0.235976789
12/6/2017,0.239450442,0.232954545,0.240850643,0.235009671
12/10/2017,0.238469087,0.231060606,0.235905045,0.233075435
12/11/2017,0.236506379,0.226799242,0.234421365,0.234526112
12/12/2017,0.23797841,0.228219697,0.234915925,0.231141199
12/13/2017,0.23454367,0.223484848,0.235905045,0.229206963
12/14/2017,0.232580962,0.227746212,0.237883284,0.231141199
12/17/2017,0.23454367,0.223484848,0.233432245,0.228723404
12/18/2017,0.232090285,0.225378788,0.238377844,0.231141199
12/19/2017,0.23454367,0.223958333,0.235905045,0.228723404
12/20/2017,0.232090285,0.223484848,0.230959446,0.228723404
12/21/2017,0.232090285,0.223484848,0.230959446,0.22582205
12/24/2017,0.229146222,0.221117424,0.232443126,0.226305609
12/26/2017,0.229636899,0.221117424,0.223541048,0.223887814
12/27/2017,0.227183513,0.215435606,0.223541048,0.218568665
12/28/2017,0.221786065,0.208806818,0.201285856,0.19729207
12/31/2017,0.200196271,0.190340909,0.166666667,0.16344294
